"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K2";"USB_A_FEMALE_CONECTOR";1;"USB_A_FEMALE_CONNECTOR";;;
2;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;",,,,";"buzzardLabel";5;"";;;
4;"G***";"Logo-Front-Soldered-3mm";1;"LOGO";;;
5;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
6;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
7;"G***";"Symbol-Front-USB";1;"LOGO";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
10;"";"Version1.0.0.";1;"";;;
